president,party
Abraham Lincoln,Republican
Andrew Jackson,Democratic
Andrew Johnson,Democratic
Barack Obama,Democratic
Benjamin Harrison,Republican
Bill Clinton,Democratic
Calvin Coolidge,Republican
Chester A. Arthur,Republican
Donald Trump,Republican
Dwight D. Eisenhower,Republican
Franklin D. Roosevelt,Democratic
Franklin Pierce,Democratic
George H. W. Bush,Republican
George W. Bush,Republican
George Washington,
Gerald Ford,Republican
Grover Cleveland,Democratic
Harry S. Truman,Democratic
Herbert Hoover,Republican
James A. Garfield,Republican
James Buchanan,Democratic
James K. Polk,Democratic
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
Jimmy Carter,Democratic
John Adams,Federalist
John F. Kennedy,Democratic
John Quincy Adams,Democratic-Republican
John Tyler,
Lyndon B. Johnson,Democratic
Martin Van Buren,Democratic
Millard Fillmore,Whig
Richard Nixon,Republican
Ronald Reagan,Republican
Rutherford B. Hayes,Republican
Theodore Roosevelt,Republican
Thomas Jefferson,Democratic-Republican
Ulysses S. Grant,Republican
Warren G. Harding,Republican
William Henry Harrison,Whig
William Howard Taft,Republican
William McKinley,Republican
Woodrow Wilson,Democratic
Zachary Taylor,Whig
