president,gender
Abraham Lincoln,male
Andrew Jackson,male
Andrew Johnson,male
Barack Obama,male
Benjamin Harrison,male
Bill Clinton,male
Calvin Coolidge,male
Chester A. Arthur,male
Dwight D. Eisenhower,male
Franklin D. Roosevelt,male
Franklin Pierce,male
George H. W. Bush,male
George W. Bush,male
George Washington,male
Gerald Ford,male
Grover Cleveland,male
Harry S. Truman,male
Herbert Hoover,male
James A. Garfield,male
James Buchanan,male
James K. Polk,male
James Madison,male
James Monroe,male
Jimmy Carter,male
John Adams,male
John F. Kennedy,male
John Quincy Adams,male
John Tyler,male
Lyndon B. Johnson,male
Martin Van Buren,male
Millard Fillmore,male
Richard Nixon,male
Ronald Reagan,male
Rutherford B. Hayes,male
Theodore Roosevelt,male
Thomas Jefferson,male
Ulysses S. Grant,male
Warren G. Harding,male
William Henry Harrison,male
William Howard Taft,male
William McKinley,male
Woodrow Wilson,male
Zachary Taylor,male
Donald Trump,male
